NUMBER OF PAIRS;TIME;PI
8192;.00010868400000000000;3.15204620361328125000
16384;.00021992800000000000;3.14059448242187500000
32768;.00044736200000000000;3.14473533630371093750
65536;.00087241000000000000;3.14095306396484375000
131072;.00177879200000000000;3.13737344741821289062
262144;.00334991600000000000;3.14252662658691406250
524288;.00690815400000000000;3.14208918809890748593
1048576;.01387504800000000000;3.14106693863868713437
2097152;.02757570600000000000;3.14102260768413543906
4194304;.05503673400000000000;3.14163722842931747031
8388608;.11026471200000000000;3.14156005531549453828
16777216;.21981962200000000000;3.14159904047846794140
33554432;.44106600200000000000;3.14155509136617183906
67108864;.87958372199999999765;3.14159209467470646015
